iter	Passed	Remaining
0	47	94217
1	79	79898
2	110	73821
3	140	70180
4	172	68723
5	209	69672
6	245	69988
7	277	69025
8	309	68365
9	343	68263
10	378	68416
11	423	70208
12	459	70294
13	492	69809
14	524	69441
15	558	69225
16	589	68813
17	629	69306
18	664	69311
19	695	68880
20	778	73354
21	813	73185
22	851	73222
23	884	72836
24	917	72472
25	1001	76041
26	1037	75823
27	1069	75340
28	1102	74933
29	1132	74365
30	1165	74051
31	1197	73661
32	1234	73584
33	1269	73393
34	1302	73112
35	1344	73375
36	1422	75488
37	1475	76160
38	1518	76364
39	1552	76069
40	1584	75706
41	1617	75424
42	1652	75223
43	1686	74977
44	1719	74700
45	1753	74481
46	1789	74371
47	1823	74150
48	1858	74004
49	1890	73731
50	1923	73523
51	1956	73291
52	1991	73142
53	2025	72979
54	2056	72738
55	2088	72486
56	2117	72174
57	2147	71907
58	2187	71959
59	2219	71768
60	2251	71563
61	2288	71545
62	2319	71302
63	2353	71192
64	2389	71145
65	2424	71050
66	2473	71348
67	2507	71236
68	2538	71051
69	2572	70939
70	2603	70740
71	2639	70675
72	2673	70578
73	2706	70435
74	2739	70319
75	2782	70453
76	2813	70271
77	2848	70196
78	2881	70057
79	2912	69894
80	2943	69727
81	2980	69707
82	3014	69629
83	3048	69533
84	3081	69434
85	3115	69346
86	3146	69190
87	3177	69036
88	3218	69101
89	3248	68929
90	3279	68802
91	3316	68771
92	3348	68671
93	3381	68557
94	3412	68425
95	3444	68313
96	3490	68477
97	3520	68328
98	3552	68217
99	3591	68231
100	3624	68144
101	3655	68015
102	3702	68198
103	3732	68043
104	3770	68042
105	3802	67939
106	3835	67864
107	3866	67738
108	3902	67695
109	3933	67592
110	3972	67599
111	4003	67495
112	4034	67372
113	4065	67261
114	4096	67154
115	4131	67104
116	4164	67019
117	4195	66920
118	4228	66836
119	4260	66746
120	4292	66664
121	4324	66568
122	4354	66451
123	4390	66422
124	4422	66335
125	4454	66249
126	4497	66330
127	4543	66444
128	4575	66359
129	4609	66304
130	4642	66239
131	4673	66142
132	4709	66115
133	4742	66044
134	4777	66003
135	4809	65912
136	4840	65826
137	4869	65707
138	4900	65610
139	4943	65674
140	4986	65743
141	5020	65686
142	5050	65580
143	5080	65484
144	5116	65454
145	5150	65398
146	5183	65343
147	5217	65288
148	5248	65195
149	5283	65164
150	5321	65159
151	5351	65060
152	5385	65014
153	5420	64976
154	5453	64911
155	5487	64864
156	5520	64805
157	5552	64729
158	5582	64637
159	5611	64532
160	5644	64470
161	5676	64405
162	5733	64615
163	5781	64721
164	5819	64716
165	5852	64660
166	5895	64714
167	5928	64653
168	5959	64565
169	5990	64482
170	6019	64386
171	6056	64365
172	6087	64293
173	6121	64242
174	6155	64189
175	6188	64136
176	6225	64115
177	6259	64073
178	6291	64007
179	6321	63922
180	6351	63833
181	6381	63748
182	6413	63684
183	6452	63685
184	6484	63614
185	6522	63609
186	6555	63558
187	6585	63477
188	6619	63430
189	6653	63380
190	6685	63324
191	6715	63234
192	6744	63149
193	6774	63068
194	6806	63000
195	6843	62987
196	6880	62972
197	6914	62928
198	6948	62883
199	6979	62812
200	7016	62798
201	7053	62778
202	7090	62769
203	7122	62709
204	7156	62663
205	7187	62593
206	7225	62588
207	7260	62554
208	7294	62511
209	7330	62482
210	7360	62406
211	7391	62336
212	7427	62314
213	7466	62313
214	7504	62303
215	7534	62232
216	7566	62172
217	7597	62100
218	7629	62049
219	7668	62041
220	7699	61979
221	7731	61918
222	7768	61906
223	7803	61871
224	7848	61912
225	7887	61913
226	7920	61864
227	7953	61817
228	7987	61774
229	8022	61741
230	8063	61748
231	8099	61723
232	8129	61655
233	8162	61601
234	8193	61536
235	8233	61538
236	8271	61532
237	8305	61485
238	8339	61449
239	8372	61397
240	8404	61342
241	8446	61356
242	8486	61360
243	8526	61361
244	8558	61309
245	8590	61252
246	8624	61207
247	8691	61400
248	8740	61465
249	8771	61400
250	8802	61334
251	8835	61289
252	8877	61298
253	8919	61311
254	8958	61303
255	8989	61237
256	9024	61203
257	9024	61203
258	9063	61161
259	9096	61109
260	9129	61064
261	9163	61019
262	9193	60950
263	9229	60922
264	9260	60857
265	9289	60784
266	9330	60789
267	9372	60798
268	9407	60761
269	9436	60687
270	9468	60630
271	9499	60572
